rownames,kids,morekids,boys2,girls2,boy1st,boy2nd,samesex,multi2nd,age,agefstm,black,hispan,worked,weeks,hours,labinc,faminc,nonmomi,educ,agesq
1,2,0,0,0,1,0,0,0,35,27,1,0,0,0,0,0,44.450001,44.450001,14,1225
2,3,1,0,0,0,1,0,0,32,20,1,0,1,40,40,14.7047,38.047501,23.3428,12,1024
3,2,0,1,0,1,1,1,0,30,19,1,0,1,52,35,20.16255,20.59289,0.43033,12,900
4,2,0,0,0,1,0,0,0,33,23,1,0,1,50,40,21.00222,83.987885,62.985691,14,1089
5,2,0,0,1,0,0,1,0,31,26,1,0,1,26,48,21.86289,88.8265,66.963631,12,961
6,2,0,0,0,1,0,0,0,35,24,1,0,1,52,40,40.39859,58.965782,18.56719,16,1225
7,3,1,0,0,1,0,0,0,28,18,1,0,1,52,40,29.503881,73.848885,44.345032,16,784
8,3,1,1,0,1,1,1,0,30,19,1,0,1,52,40,13.65512,61.94659,48.29147,12,900
9,2,0,0,0,0,1,0,0,23,19,1,0,1,52,35,12.605531,29.40941,16.803881,12,529
10,2,0,0,0,1,0,0,0,32,22,1,0,1,52,40,27.299749,84.418251,57.1185,12,1024
11,2,0,0,0,1,0,0,0,31,18,1,0,0,0,0,0,36.704033,36.704033,13,961
12,2,0,0,0,1,0,0,0,28,19,0,1,1,10,40,1.79479,6.78033,4.98554,6,784
13,3,1,0,1,0,0,1,0,33,26,1,0,1,48,38,12.605531,67.194504,54.589001,14,1089
14,2,0,0,1,0,0,1,0,29,21,1,0,1,52,40,29.39892,60.896999,31.498091,13,841
15,2,0,1,0,1,1,1,0,21,17,1,0,1,52,40,13.65512,40.744942,27.08983,12,441
16,3,1,0,0,1,0,0,1,28,17,1,0,0,0,0,0,31.498091,31.498091,12,784
17,3,1,0,1,0,0,1,0,35,17,1,0,1,47,8,18.903051,44.114128,25.211061,12,1225
18,3,1,0,0,1,0,0,0,25,18,1,0,1,50,40,18.903051,22.90197,3.99892,9,625
19,4,1,0,0,1,0,0,0,33,22,1,0,1,17,40,7.44157,52.605282,45.163719,20,1089
20,2,0,1,0,1,1,1,0,29,20,1,0,1,52,40,37.795589,73.492065,35.696442,13,841
21,3,1,0,0,0,1,0,0,32,20,1,0,1,52,40,17.328671,34.55238,17.223721,12,1024
22,3,1,0,0,0,1,0,0,28,19,0,1,0,0,0,0,37.795589,37.795589,11,784
23,2,0,1,0,1,1,1,0,22,19,1,0,1,24,40,8.40719,16.814381,8.40719,12,484
24,2,0,0,0,1,0,0,0,25,18,1,0,1,52,38,14.7047,31.508591,16.803881,12,625
25,2,0,1,0,1,1,1,0,27,20,1,0,0,0,0,0,20.75033,20.75033,12,729
26,3,1,0,1,0,0,1,0,33,25,1,0,1,40,40,14.7047,41.16478,26.460079,16,1089
27,3,1,1,0,1,1,1,0,22,15,1,0,1,36,40,3.99892,22.90197,18.903051,10,484
28,2,0,0,0,1,0,0,0,27,19,1,0,1,38,40,14.36884,52.510807,38.141968,13,729
29,2,0,0,0,1,0,0,0,30,19,1,0,1,52,40,21.00222,39.485443,18.483221,12,900
30,2,0,0,0,1,0,0,0,22,19,1,0,0,0,0,0,46.19231,46.19231,16,484
31,2,0,0,1,0,0,1,0,29,20,1,0,1,52,35,13.23529,35.09816,21.86289,10,841
32,4,1,0,0,1,0,0,0,33,26,1,0,1,36,40,35.696442,76.871689,41.175282,18,1089
33,2,0,1,0,1,1,1,0,29,19,1,0,1,52,40,6.30802,31.519079,25.211061,12,841
34,4,1,1,0,1,1,1,0,26,18,1,0,1,4,40,10.50636,67.205002,56.698662,12,676
35,2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,37.848091,37.848091,12,1089
36,2,0,0,0,0,1,0,0,31,25,1,0,1,52,40,38.845192,103.930061,65.084877,16,961
37,3,1,0,0,1,0,0,0,25,17,1,0,1,12,30,2.5295,27.614632,25.08511,12,625
38,3,1,0,0,0,1,0,0,34,19,1,0,0,0,0,0,12.605531,12.605531,12,1156
39,2,0,0,0,1,0,0,0,28,23,1,0,1,52,40,28.013472,56.404781,28.39131,18,784
40,3,1,0,0,0,1,0,1,29,22,1,0,1,52,40,25.200581,60.896999,35.696442,17,841
41,2,0,1,0,1,1,1,0,25,18,1,0,1,50,40,17.85347,45.153217,27.299749,12,625
42,2,0,0,0,0,1,0,0,26,21,1,0,1,36,5,3.89397,20.69784,16.803881,14,676
43,3,1,0,0,1,0,0,0,26,21,1,0,0,0,0,0,12.616031,12.616031,16,676
44,2,0,0,1,0,0,1,0,34,19,1,0,1,52,40,16.258089,35.16116,18.903051,12,1156
45,2,0,0,0,0,1,0,0,25,18,1,0,1,52,40,31.498091,62.996193,31.498091,11,625
46,2,0,0,1,0,0,1,0,29,20,1,0,1,48,40,12.605531,33.513283,20.90777,15,841
47,3,1,1,0,1,1,1,0,30,19,1,0,0,0,0,0,46.381218,46.381218,13,900
48,2,0,0,1,0,0,1,0,35,25,1,0,1,52,40,12.605531,73.124687,60.519161,12,1225
49,2,0,0,1,0,0,1,0,34,24,1,0,1,50,40,21.00222,74.499634,53.49744,12,1156
50,4,1,0,0,0,1,0,0,34,19,1,0,1,36,40,9.45677,24.58131,15.12454,11,1156
51,2,0,0,0,1,0,0,0,23,17,1,0,1,52,40,16.04818,24.07752,8.02934,12,529
52,3,1,0,0,0,1,0,0,29,16,1,0,1,52,40,29.39892,62.996193,33.597252,12,841
53,4,1,0,0,0,1,0,0,33,20,1,0,0,0,0,0,11.9443,11.9443,12,1089
54,3,1,0,0,1,0,0,0,33,19,1,0,0,0,0,0,21.00222,21.00222,8,1089
55,3,1,0,0,1,0,0,0,34,19,1,0,0,0,0,0,54.589001,54.589001,12,1156
56,2,0,0,0,0,1,0,0,25,17,1,0,1,36,35,6.30802,20.18355,13.87553,12,625
57,4,1,1,0,1,1,1,0,24,17,1,0,1,20,40,4.20884,33.47131,29.26247,12,576
58,2,0,1,0,1,1,1,0,34,25,0,1,0,0,0,0,6.30802,6.30802,12,1156
